08/01/2016 13:08,"b'RT @TechnicallyRon: New #alcoholguidelines\n""Drink because everything is awful the country is terrible and life is one long existential cris\xe2\x80\xa6'",
08/01/2016 13:08,"b""RT @mashable: Sorry men, turns out shouldn't drink more than women after all:\n https://t.co/NajlC3jis7 #alcoholguidelines""",
08/01/2016 13:08,b'RT @DHgovuk: Give us your views on #alcoholguidelines https://t.co/Xjex5ZkH5H https://t.co/UwMJ51XX2K',
08/01/2016 13:08,"b""Sorry men, turns out shouldn't drink more than women after all: #alcoholguidelines https://t.co/cl7tHrlUzu""",
08/01/2016 13:08,"b'RT @thejoemellor: ""No  safe level of drinking"" so everyone is getting smashed \nhttps://t.co/vRXgqc5M0Q #alcoholguidelines #satire https://t\xe2\x80\xa6'",
08/01/2016 13:08,b'RT @StreathamHOUSE: Less Whine. More Wine! @BigFatArts #alcoholguidelines #nannystate @winewankers https://t.co/G7VmZqoXm0',
08/01/2016 13:08,"b""RT @mashable: Sorry men, turns out shouldn't drink more than women after all:\n https://t.co/NajlC3jis7 #alcoholguidelines""",
08/01/2016 13:08,"b""If anything makes me give up drinking it's Nigel #farage jumping in to diss the #alcoholguidelines #wato""",
08/01/2016 13:08,b'RT @maldoror84: New #alcoholguidelines say 1 beer a day. Roger that. https://t.co/wjThYJSThd',
08/01/2016 13:08,b'Use a mug and then no one will be any the wiser #alcoholguidelines https://t.co/9uHGqUBBJi',
08/01/2016 13:08,"b""RT @Britnelloss: I wish the government would stop issuing crappy guidelines. If I wan't to drink 6 pints on a night out - I will! #Alcoholg\xe2\x80\xa6""",
08/01/2016 13:08,b'1/2 a glass of wine a day beneficial for women over 55.  Roll on 55 so I can enjoy a guilt free drink! #alcoholguidelines',
08/01/2016 13:08,"b""#alcoholguidelines quit smoking and start drinking because then you're 12 times more likely to live. #YoureWelcome""",
08/01/2016 13:08,"b""Sorry men, turns out shouldn't drink more than women after all:\n https://t.co/vwlZ0gKhYn #alcoholguidelines #yello\xe2\x80\xa6 https://t.co/siem0tLH5t""",
08/01/2016 13:08,b'As #alcoholguidelines released today. Take a look our analysis of the burden of alcohol on the NHS https://t.co/Bd0nVjEbCJ @NuffieldTrust',
08/01/2016 13:08,b'Shattered to learn that I am now a problem drinker. Have to get blotto tonight to deal with it. #alcoholguidelines https://t.co/9WUMhbCYkg',
08/01/2016 13:07,"b'RT @FollowMorrissey: New #alcoholguidelines aren\'t ""nanny state"" - they\'re based on research. The other drugs that are banned altogether - \xe2\x80\xa6'",
08/01/2016 13:07,b'My neighbour is a senior officer for Public Health England. He spent his bonus on building and stocking a wine cellar #alcoholguidelines',
08/01/2016 13:07,"b'RT @carlmaxim: Every minute spent on Twitter is equivalent to 14 units of alcohol. Remember, there is no safe level of tweets.\n#alcoholguid\xe2\x80\xa6'",
08/01/2016 13:07,"b""RT @livhamlett: Hey gov. maybe if u stopped putting pressure on social services and paid me more money I wouldn't drink as often as I do #a\xe2\x80\xa6""",
08/01/2016 13:07,"b""RT @mashable: Sorry men, turns out shouldn't drink more than women after all:\n https://t.co/NajlC3jis7 #alcoholguidelines""",
08/01/2016 13:07,b'RT @DHgovuk: Give us your views on #alcoholguidelines https://t.co/Xjex5ZkH5H https://t.co/UwMJ51XX2K',
08/01/2016 13:07,b'RT @cnni: New UK #alcoholguidelines suggest there is no safe level of drinking: https://t.co/4tXHzxttsD https://t.co/HSkIerfZpz',
08/01/2016 13:07,b'RT @roystoncartoons: #alcoholguidelines https://t.co/f5sDDFRjoS',
